['1.09', '3.30', '0.00', '0.00', '0.43', '0.52', '0.54']
['3.30', '3.30', '3.30', '0.00', '0.26', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.60', '0.94', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.74', '1.01', '0.71']
['1.04', '3.30', '0.00', '0.00', '0.43', '0.51', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.26', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.57', '0.94', '0.66']
['0.00', '3.30', '0.00', '3.30', '1.72', '1.00', '0.71']
['0.81', '3.30', '0.00', '0.00', '0.41', '0.52', '0.54']
['3.30', '3.30', '3.30', '0.00', '0.25', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.61', '0.94', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.74', '1.01', '0.70']
['1.20', '3.30', '0.00', '0.00', '0.43', '0.52', '0.54']
['3.30', '3.30', '3.30', '0.00', '0.25', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.59', '0.94', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.71', '1.00', '0.70']
['1.38', '3.30', '0.00', '0.00', '0.43', '0.51', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.25', '0.46', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.64', '0.95', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.76', '1.01', '0.70']
['1.29', '3.30', '0.00', '0.00', '0.43', '0.52', '0.54']
['3.30', '3.30', '3.30', '0.00', '0.25', '0.46', '0.51']
['0.25', '3.30', '3.30', '3.30', '1.63', '0.96', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.74', '1.00', '0.70']
['1.85', '3.30', '0.00', '0.00', '0.41', '0.52', '0.54']
['3.30', '3.30', '3.30', '0.00', '0.26', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.60', '0.94', '0.66']
['0.00', '3.30', '0.00', '3.30', '1.75', '1.01', '0.70']
['2.03', '3.30', '0.00', '0.00', '0.41', '0.50', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.25', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.65', '0.96', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.75', '1.01', '0.70']
['1.98', '3.30', '0.00', '0.00', '0.41', '0.52', '0.55']
['3.30', '1.84', '3.30', '0.00', '0.25', '0.45', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.62', '0.94', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.76', '1.01', '0.71']
['2.22', '3.30', '0.00', '0.00', '0.38', '0.51', '0.54']
['3.30', '1.23', '3.30', '0.00', '0.25', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.19', '1.59', '0.92', '0.67']
['0.00', '3.30', '0.00', '3.26', '1.73', '1.00', '0.70']
['2.08', '3.30', '0.00', '0.00', '0.37', '0.51', '0.55']
['3.30', '1.46', '3.30', '0.00', '0.25', '0.46', '0.51']
['0.00', '3.30', '3.30', '3.10', '1.56', '0.92', '0.66']
['0.00', '3.30', '0.00', '3.30', '1.73', '1.00', '0.70']
['2.26', '3.30', '0.00', '0.00', '0.38', '0.51', '0.55']
['3.30', '2.42', '3.30', '0.00', '0.25', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.64', '0.95', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.77', '1.01', '0.71']
['2.25', '3.30', '0.00', '0.00', '0.37', '0.51', '0.54']
['3.30', '0.51', '3.30', '0.00', '0.24', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.28', '1.62', '0.93', '0.67']
['0.00', '3.30', '0.00', '3.01', '1.68', '0.97', '0.69']
['2.28', '3.30', '0.00', '0.00', '0.35', '0.50', '0.54']
['3.30', '3.30', '3.30', '0.00', '0.25', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.17', '1.60', '0.92', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.75', '1.00', '0.70']
['2.39', '3.30', '0.00', '0.00', '0.37', '0.51', '0.55']
['3.30', '0.96', '3.30', '0.00', '0.25', '0.46', '0.51']
['0.00', '3.30', '3.30', '3.29', '1.62', '0.92', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.73', '0.99', '0.70']
['2.52', '3.30', '0.00', '0.00', '0.37', '0.50', '0.55']
['3.30', '3.27', '3.30', '0.00', '0.25', '0.47', '0.52']
['0.00', '3.30', '3.30', '3.18', '1.61', '0.93', '0.66']
['0.00', '3.30', '0.00', '3.30', '1.77', '1.00', '0.70']
['2.66', '3.30', '0.00', '0.00', '0.36', '0.50', '0.55']
['3.30', '0.82', '3.30', '0.00', '0.25', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.12', '1.59', '0.92', '0.66']
['0.00', '3.30', '0.00', '3.29', '1.73', '0.99', '0.70']
['2.59', '3.30', '0.00', '0.00', '0.38', '0.51', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.25', '0.47', '0.52']
['0.00', '3.30', '3.30', '3.06', '1.60', '0.92', '0.66']
['0.00', '3.30', '0.00', '3.30', '1.74', '0.99', '0.70']
['2.98', '3.30', '0.00', '0.00', '0.36', '0.50', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.25', '0.47', '0.52']
['0.00', '3.30', '3.30', '3.03', '1.59', '0.92', '0.66']
['0.00', '3.30', '0.00', '3.30', '1.73', '0.99', '0.70']
['2.79', '3.30', '0.00', '0.00', '0.36', '0.51', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.25', '0.47', '0.52']
['0.00', '3.30', '3.30', '2.99', '1.57', '0.92', '0.65']
['0.00', '3.30', '0.00', '3.30', '1.76', '1.00', '0.70']
['2.97', '3.30', '0.00', '0.00', '0.36', '0.51', '0.55']
['3.30', '2.00', '3.30', '0.00', '0.28', '0.48', '0.52']
['0.00', '3.30', '3.30', '3.25', '1.65', '0.93', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.77', '1.01', '0.71']
['3.09', '3.30', '0.00', '0.00', '0.36', '0.50', '0.54']
['3.30', '3.30', '3.30', '0.00', '0.25', '0.47', '0.52']
['0.00', '3.30', '3.30', '2.89', '1.55', '0.90', '0.65']
['0.00', '3.30', '0.00', '3.12', '1.70', '0.97', '0.69']
['3.18', '3.30', '0.00', '0.00', '0.34', '0.50', '0.54']
['3.30', '2.86', '3.30', '0.00', '0.27', '0.48', '0.52']
['0.00', '3.30', '3.30', '2.89', '1.58', '0.90', '0.66']
['0.00', '3.30', '0.00', '3.29', '1.74', '0.99', '0.70']
['3.24', '3.30', '0.00', '0.00', '0.35', '0.51', '0.54']
['3.30', '3.30', '3.30', '0.00', '0.27', '0.48', '0.52']
['0.00', '3.30', '3.30', '3.01', '1.60', '0.91', '0.66']
['0.00', '3.30', '0.00', '3.18', '1.72', '0.98', '0.70']
['3.30', '3.30', '0.00', '0.00', '0.35', '0.51', '0.54']
['3.30', '3.30', '3.30', '0.00', '0.29', '0.49', '0.53']
['0.00', '3.30', '3.30', '2.84', '1.58', '0.89', '0.64']
['0.00', '3.30', '0.00', '3.30', '1.73', '0.99', '0.71']
['3.30', '3.30', '0.00', '0.00', '0.34', '0.51', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.29', '0.49', '0.53']
['0.03', '3.30', '3.27', '2.98', '1.60', '0.91', '0.65']
['0.00', '3.30', '0.00', '2.95', '1.67', '0.95', '0.68']
['3.30', '3.30', '0.00', '0.00', '0.32', '0.50', '0.54']
['3.30', '3.30', '3.30', '0.00', '0.28', '0.48', '0.52']
['0.00', '3.30', '3.25', '2.75', '1.55', '0.88', '0.64']
['0.00', '3.30', '0.00', '3.07', '1.69', '0.97', '0.69']
['3.30', '3.30', '0.00', '0.00', '0.34', '0.51', '0.55']
['3.30', '3.30', '3.30', '0.05', '0.32', '0.50', '0.53']
['0.00', '3.30', '3.14', '2.98', '1.60', '0.92', '0.66']
['0.00', '3.30', '0.00', '3.30', '1.78', '1.01', '0.70']
['3.30', '3.30', '0.00', '0.00', '0.36', '0.50', '0.54']
['3.30', '0.95', '3.30', '0.09', '0.32', '0.50', '0.53']
